JDBC time:1649495, Search Servlet time:1860939
JDBC time:1508758, Search Servlet time:1679927
JDBC time:1739653, Search Servlet time:1881858
JDBC time:2978824, Search Servlet time:3122956
JDBC time:1466047, Search Servlet time:1603913
JDBC time:1490464, Search Servlet time:1623717
JDBC time:6671532, Search Servlet time:6831190
JDBC time:2039336, Search Servlet time:2177824
JDBC time:1562928, Search Servlet time:1729031
JDBC time:1483259, Search Servlet time:1608014
JDBC time:1624234, Search Servlet time:1751232
JDBC time:1621878, Search Servlet time:1746631
JDBC time:1867352, Search Servlet time:1994075
JDBC time:1453735, Search Servlet time:1588619
JDBC time:1895160, Search Servlet time:2028056
JDBC time:1491788, Search Servlet time:1617044
JDBC time:1517083, Search Servlet time:1643767
JDBC time:1764285, Search Servlet time:1876971
JDBC time:1477847, Search Servlet time:1599856
JDBC time:10223849, Search Servlet time:10351700
JDBC time:3154132, Search Servlet time:3287630
JDBC time:1362516, Search Servlet time:1492248
JDBC time:1444034, Search Servlet time:1549796
JDBC time:1704242, Search Servlet time:1837266
JDBC time:2385524, Search Servlet time:2707638
JDBC time:2217479, Search Servlet time:2522378
JDBC time:1441053, Search Servlet time:1748540
JDBC time:1585632, Search Servlet time:1870037
JDBC time:1596728, Search Servlet time:1895279
JDBC time:1448049, Search Servlet time:1738839
JDBC time:1317045, Search Servlet time:1650250
JDBC time:1568391, Search Servlet time:1856160
JDBC time:1456171, Search Servlet time:1743109
JDBC time:1533171, Search Servlet time:1816856
JDBC time:1489974, Search Servlet time:1774450
JDBC time:1575496, Search Servlet time:1863581
JDBC time:1352019, Search Servlet time:1638905
JDBC time:1514222, Search Servlet time:1797351
JDBC time:1598458, Search Servlet time:1875772
JDBC time:2387923, Search Servlet time:2665829
JDBC time:1387623, Search Servlet time:1685466
JDBC time:1345926, Search Servlet time:1634314
JDBC time:1822538, Search Servlet time:2105570
JDBC time:1502764, Search Servlet time:1787328
JDBC time:1491787, Search Servlet time:1780735
JDBC time:1648311, Search Servlet time:1946872
JDBC time:1430920, Search Servlet time:1737090
