JDBC time:37967550, Search Servlet time:57269230
JDBC time:410186457, Search Servlet time:59705820
JDBC time:403447330, Search Servlet time:61719810
JDBC time:144968898, Search Servlet time:61865532
JDBC time:150550040, Search Servlet time:61998940
JDBC time:409202769, Search Servlet time:62139272
JDBC time:411011162, Search Servlet time:62276611
JDBC time:400979141, Search Servlet time:62423225
JDBC time:237445404, Search Servlet time:61577111
JDBC time:7528262, Search Servlet time:7839217
JDBC time:15892170, Search Servlet time:6772671
JDBC time:16100464, Search Servlet time:6186500
JDBC time:16316343, Search Servlet time:9250880
JDBC time:23523838, Search Servlet time:16322230
JDBC time:26083205, Search Servlet time:17106541
JDBC time:29954140, Search Servlet time:19506208
JDBC time:41404801, Search Servlet time:28581780
JDBC time:30237005, Search Servlet time:30681073
JDBC time:46162197, Search Servlet time:38310030
JDBC time:7817422, Search Servlet time:5837586
JDBC time:6505299, Search Servlet time:6693909
JDBC time:11470076, Search Servlet time:10874074
JDBC time:18136754, Search Servlet time:13422224
JDBC time:16426777, Search Servlet time:14166809
JDBC time:19836692, Search Servlet time:16213443
JDBC time:22130404, Search Servlet time:3252642
JDBC time:3770042, Search Servlet time:3984883
JDBC time:49433892, Search Servlet time:8640555
JDBC time:273547223, Search Servlet time:26634580
JDBC time:12671720, Search Servlet time:5056850
JDBC time:13151968, Search Servlet time:7330136
JDBC time:22686917, Search Servlet time:13595412
JDBC time:17160820, Search Servlet time:13983772
JDBC time:13426267, Search Servlet time:14258897
JDBC time:12505073, Search Servlet time:14529801
JDBC time:23848306, Search Servlet time:14810224
JDBC time:15636688, Search Servlet time:15077421
JDBC time:19632092, Search Servlet time:15360841
JDBC time:11374125, Search Servlet time:15612585
JDBC time:4295604, Search Servlet time:4600068
JDBC time:9641460, Search Servlet time:8646064
JDBC time:14341641, Search Servlet time:14317857
JDBC time:10062543, Search Servlet time:14561208
JDBC time:22599854, Search Servlet time:14829546
JDBC time:11603877, Search Servlet time:15090917
JDBC time:16969133, Search Servlet time:15357815
JDBC time:13189967, Search Servlet time:15641783
JDBC time:5796548, Search Servlet time:15945068
JDBC time:22706523, Search Servlet time:19093263
JDBC time:2830509, Search Servlet time:3165800
JDBC time:7225531, Search Servlet time:3349526
JDBC time:9251992, Search Servlet time:3665677
JDBC time:7423479, Search Servlet time:4273370
JDBC time:6206417, Search Servlet time:4845503
JDBC time:8639395, Search Servlet time:5979170
JDBC time:7186158, Search Servlet time:7401773
JDBC time:18561075, Search Servlet time:8036223
JDBC time:12344041, Search Servlet time:8402443
JDBC time:27932604, Search Servlet time:13032603
JDBC time:10176109, Search Servlet time:6650852
JDBC time:22500078, Search Servlet time:10760573
JDBC time:16550133, Search Servlet time:11405832
JDBC time:24704501, Search Servlet time:12046747
JDBC time:15717821, Search Servlet time:13736840
JDBC time:14295240, Search Servlet time:14515821
JDBC time:14383400, Search Servlet time:15140377
JDBC time:16959533, Search Servlet time:16561230
JDBC time:18094021, Search Servlet time:16909869
JDBC time:32976105, Search Servlet time:17714239
JDBC time:13702643, Search Servlet time:25188977
JDBC time:35325467, Search Servlet time:25718017
JDBC time:25950436, Search Servlet time:26007537
JDBC time:28600812, Search Servlet time:26278928
JDBC time:21226244, Search Servlet time:29341394
JDBC time:5619527, Search Servlet time:29553547
JDBC time:9225038, Search Servlet time:29691824
JDBC time:9137433, Search Servlet time:29929533
JDBC time:53003073, Search Servlet time:37058074
JDBC time:80878014, Search Servlet time:81057994
JDBC time:2989093, Search Servlet time:3184185
JDBC time:11794652, Search Servlet time:4047834
JDBC time:11884570, Search Servlet time:4764154
JDBC time:10665607, Search Servlet time:5561754
JDBC time:18714618, Search Servlet time:7096146
JDBC time:14369762, Search Servlet time:8602176
JDBC time:17825818, Search Servlet time:9829176
JDBC time:13549073, Search Servlet time:10145036
JDBC time:24340099, Search Servlet time:10540901
JDBC time:4373312, Search Servlet time:4638689
JDBC time:2890179, Search Servlet time:3130261
JDBC time:4299431, Search Servlet time:4461069
JDBC time:12323128, Search Servlet time:1060843
JDBC time:10901044, Search Servlet time:1720911
JDBC time:8317214, Search Servlet time:2545963
JDBC time:8114201, Search Servlet time:4137560
JDBC time:4594960, Search Servlet time:4741345
JDBC time:13147404, Search Servlet time:5809878
JDBC time:19755376, Search Servlet time:6684061
JDBC time:21908194, Search Servlet time:6961439
JDBC time:2373702, Search Servlet time:2612893
JDBC time:5038401, Search Servlet time:4477201
JDBC time:2187575, Search Servlet time:2455164
JDBC time:10744229, Search Servlet time:6162791
JDBC time:11173833, Search Servlet time:10053139
JDBC time:11862488, Search Servlet time:12390915
JDBC time:14623742, Search Servlet time:12662438
JDBC time:18015189, Search Servlet time:12928531
JDBC time:22306926, Search Servlet time:17103331
JDBC time:20656149, Search Servlet time:18678420
JDBC time:2834043, Search Servlet time:3084716
JDBC time:1947246, Search Servlet time:2110561
JDBC time:1590089, Search Servlet time:1800104
JDBC time:4745830, Search Servlet time:2523559
JDBC time:5934934, Search Servlet time:1969738
JDBC time:9181821, Search Servlet time:5683264
JDBC time:16240910, Search Servlet time:5960968
JDBC time:5094111, Search Servlet time:6213850
JDBC time:7534184, Search Servlet time:6481265
JDBC time:5968777, Search Servlet time:6733724
JDBC time:12900491, Search Servlet time:6988321
JDBC time:11499905, Search Servlet time:7236400
JDBC time:2151756, Search Servlet time:2389551
JDBC time:1638494, Search Servlet time:1792431
JDBC time:67614660, Search Servlet time:67830529
JDBC time:3713172, Search Servlet time:2156816
JDBC time:3535739, Search Servlet time:3686081
JDBC time:10570384, Search Servlet time:2900456
JDBC time:6748881, Search Servlet time:3537126
JDBC time:9399398, Search Servlet time:4439625
JDBC time:5943011, Search Servlet time:4919944
JDBC time:5291721, Search Servlet time:5441704
JDBC time:12830377, Search Servlet time:7069098
JDBC time:6034846, Search Servlet time:7389072
JDBC time:6493044, Search Servlet time:3905080
JDBC time:10455227, Search Servlet time:4754698
JDBC time:6640179, Search Servlet time:5306948
JDBC time:10097435, Search Servlet time:5918212
JDBC time:6413533, Search Servlet time:6564372
JDBC time:13260164, Search Servlet time:7097221
JDBC time:15653679, Search Servlet time:7699127
JDBC time:2987559, Search Servlet time:1519220
JDBC time:4757337, Search Servlet time:2092576
JDBC time:2531590, Search Servlet time:2682649
JDBC time:5730527, Search Servlet time:3082180
JDBC time:3538485, Search Servlet time:3675569
JDBC time:5440371, Search Servlet time:4258007
JDBC time:10436278, Search Servlet time:4798188
JDBC time:11245248, Search Servlet time:5220786
JDBC time:13977795, Search Servlet time:5769538
JDBC time:16280133, Search Servlet time:7500544
JDBC time:4424054, Search Servlet time:4939657
JDBC time:4826791, Search Servlet time:5330403
JDBC time:13026426, Search Servlet time:9272023
JDBC time:2653762, Search Servlet time:2905930
JDBC time:8894316, Search Servlet time:5417731
JDBC time:11042089, Search Servlet time:6045227
JDBC time:6819526, Search Servlet time:6958563
JDBC time:7168033, Search Servlet time:7470525
JDBC time:8185748, Search Servlet time:7859554
JDBC time:9245966, Search Servlet time:8214389
JDBC time:4314982, Search Servlet time:4497896
JDBC time:7326011, Search Servlet time:5372017
JDBC time:8953440, Search Servlet time:6534246
JDBC time:3277199, Search Servlet time:3512415
JDBC time:5194330, Search Servlet time:3763221
JDBC time:6670193, Search Servlet time:4617624
JDBC time:6520174, Search Servlet time:6655167
JDBC time:10949188, Search Servlet time:7119844
JDBC time:6298246, Search Servlet time:7578209
JDBC time:4905665, Search Servlet time:5087707
JDBC time:5931707, Search Servlet time:1088838
JDBC time:6132446, Search Servlet time:6330626
JDBC time:12753473, Search Servlet time:8732716
JDBC time:4780452, Search Servlet time:5008242
JDBC time:2441871, Search Servlet time:2628566
JDBC time:3773564, Search Servlet time:3329609
JDBC time:4041516, Search Servlet time:4174903
JDBC time:7761683, Search Servlet time:6153593
JDBC time:8652468, Search Servlet time:6685775
JDBC time:7490363, Search Servlet time:7220334
JDBC time:2144855, Search Servlet time:2375702
JDBC time:3809432, Search Servlet time:1631395
JDBC time:2042511, Search Servlet time:2174751
JDBC time:3938590, Search Servlet time:4087681
JDBC time:4035064, Search Servlet time:2731718
JDBC time:3309027, Search Servlet time:3443618
JDBC time:7761432, Search Servlet time:4133645
JDBC time:9833455, Search Servlet time:4648917
JDBC time:7081726, Search Servlet time:5163556
JDBC time:12833871, Search Servlet time:5786559
JDBC time:4401316, Search Servlet time:3165872
JDBC time:7814585, Search Servlet time:4117302
JDBC time:4449832, Search Servlet time:16954944
JDBC time:11671461, Search Servlet time:17161667
JDBC time:3686724, Search Servlet time:4179948
JDBC time:5860856, Search Servlet time:5079705
JDBC time:6259183, Search Servlet time:6381239
JDBC time:5059856, Search Servlet time:6926046
JDBC time:8747802, Search Servlet time:7447083
JDBC time:15874298, Search Servlet time:8423197
JDBC time:1508262, Search Servlet time:1699894
JDBC time:4364690, Search Servlet time:2263706
JDBC time:2668373, Search Servlet time:1330028
JDBC time:1734849, Search Servlet time:1860637
JDBC time:1607365, Search Servlet time:2253785
JDBC time:8852118, Search Servlet time:3047580
JDBC time:5866135, Search Servlet time:3302053
JDBC time:6009326, Search Servlet time:3572960
JDBC time:1845586, Search Servlet time:2038630
JDBC time:4323925, Search Servlet time:3841801
JDBC time:3017836, Search Servlet time:3280922
JDBC time:9687186, Search Servlet time:2244179
JDBC time:10382839, Search Servlet time:1540820
JDBC time:5218328, Search Servlet time:1801318
JDBC time:9074706, Search Servlet time:2091106
JDBC time:3160111, Search Servlet time:2250714
JDBC time:5524578, Search Servlet time:2500425
JDBC time:9823292, Search Servlet time:2717589
JDBC time:3241023, Search Servlet time:3356322
JDBC time:5212616, Search Servlet time:3828519
JDBC time:14248710, Search Servlet time:3725691
JDBC time:4712779, Search Servlet time:4306819
JDBC time:12649592, Search Servlet time:5160561
JDBC time:16665886, Search Servlet time:7939935
JDBC time:12592422, Search Servlet time:8780271
JDBC time:10194624, Search Servlet time:9182035
JDBC time:12876187, Search Servlet time:9662480
JDBC time:9949227, Search Servlet time:10077307
JDBC time:15956166, Search Servlet time:10397430
JDBC time:23405632, Search Servlet time:10887866
JDBC time:1502546, Search Servlet time:1697508
JDBC time:4213815, Search Servlet time:2278981
JDBC time:7997584, Search Servlet time:8225014
JDBC time:3214972, Search Servlet time:3710408
JDBC time:11810849, Search Servlet time:3741502
JDBC time:14887548, Search Servlet time:4305760
JDBC time:17105131, Search Servlet time:4898183
JDBC time:11214733, Search Servlet time:5397255
JDBC time:20596885, Search Servlet time:6836527
JDBC time:12311350, Search Servlet time:7067387
JDBC time:16569336, Search Servlet time:7288446
JDBC time:10206971, Search Servlet time:7505564
JDBC time:7974922, Search Servlet time:8095521
JDBC time:2099541, Search Servlet time:2412807
JDBC time:5903076, Search Servlet time:3188996
JDBC time:7186337, Search Servlet time:7316866
JDBC time:19506310, Search Servlet time:8307804
JDBC time:8838161, Search Servlet time:8624026
