JDBC time: 44123280, Servlet time: 44155724
JDBC time: 47367646, Servlet time: 47398836
JDBC time: 51948922, Servlet time: 51987187
JDBC time: 49286328, Servlet time: 49315250
JDBC time: 13806755, Servlet time: 13851018
JDBC time: 47331261, Servlet time: 47377454
JDBC time: 41343749, Servlet time: 41366581
JDBC time: 38898717, Servlet time: 38923008
JDBC time: 48503806, Servlet time: 48538522
JDBC time: 26696717, Servlet time: 26742175
JDBC time: 26209715, Servlet time: 26231808
JDBC time: 28171687, Servlet time: 28195476
JDBC time: 28696058, Servlet time: 28717357
JDBC time: 31449361, Servlet time: 31493925
JDBC time: 31116949, Servlet time: 31140439
JDBC time: 52218150, Servlet time: 52248041
JDBC time: 53793054, Servlet time: 53817709
JDBC time: 58237652, Servlet time: 58283202
JDBC time: 57091639, Servlet time: 57116795
JDBC time: 57792753, Servlet time: 57821277
JDBC time: 61067982, Servlet time: 61100288
JDBC time: 72374585, Servlet time: 72395216
JDBC time: 36185308, Servlet time: 36227674
JDBC time: 36847396, Servlet time: 36869277
JDBC time: 36880777, Servlet time: 36902826
JDBC time: 83537158, Servlet time: 83561534
JDBC time: 86667911, Servlet time: 86690095
JDBC time: 92058789, Servlet time: 92085888
JDBC time: 94867725, Servlet time: 94888776
JDBC time: 93480002, Servlet time: 93507379
JDBC time: 97191406, Servlet time: 97211921
JDBC time: 100689479, Servlet time: 100735030
JDBC time: 98957323, Servlet time: 98978051
JDBC time: 99029602, Servlet time: 99058438
JDBC time: 95728184, Servlet time: 95751788
JDBC time: 43247251, Servlet time: 43271227
JDBC time: 46584305, Servlet time: 46640288
JDBC time: 40758890, Servlet time: 40784175
JDBC time: 48416267, Servlet time: 48439557
JDBC time: 49301507, Servlet time: 49325061
JDBC time: 36478686, Servlet time: 36500985
JDBC time: 37525803, Servlet time: 37547484
JDBC time: 39521262, Servlet time: 39545965
JDBC time: 40673238, Servlet time: 40694043
JDBC time: 45100094, Servlet time: 45150825
JDBC time: 38390676, Servlet time: 38418068
JDBC time: 39926961, Servlet time: 39949479
JDBC time: 36949818, Servlet time: 36974515
JDBC time: 37204394, Servlet time: 38611203
JDBC time: 49829095, Servlet time: 49872291
JDBC time: 39535919, Servlet time: 39592511
JDBC time: 40761117, Servlet time: 40792493
