JDBC time:2005026, Search Servlet time:2125347
JDBC time:1043044, Search Servlet time:1101920
JDBC time:1080368, Search Servlet time:1134348
JDBC time:1060609, Search Servlet time:1141859
JDBC time:3032072, Search Servlet time:1487709
JDBC time:1411985, Search Servlet time:1504543
JDBC time:1423164, Search Servlet time:1518624
JDBC time:3180232, Search Servlet time:1258441
JDBC time:1444577, Search Servlet time:1503824
JDBC time:1416458, Search Servlet time:1504752
JDBC time:1452460, Search Servlet time:1589812
JDBC time:1530386, Search Servlet time:1646918
JDBC time:1719141, Search Servlet time:1850528
JDBC time:1546486, Search Servlet time:1676096
JDBC time:1278019, Search Servlet time:1372047
JDBC time:1302203, Search Servlet time:1349651
JDBC time:1463391, Search Servlet time:1562132
JDBC time:1514622, Search Servlet time:1620116
JDBC time:1387950, Search Servlet time:1474021
JDBC time:10579189, Search Servlet time:10682126
JDBC time:3054261, Search Servlet time:3140976
JDBC time:1333260, Search Servlet time:1432847
JDBC time:1613386, Search Servlet time:1716433
JDBC time:1026185, Search Servlet time:1093223
JDBC time:1150456, Search Servlet time:1238028
JDBC time:2086305, Search Servlet time:2183182
JDBC time:2564863, Search Servlet time:2639586
JDBC time:1261638, Search Servlet time:1324917
JDBC time:1599226, Search Servlet time:1728197
JDBC time:1262566, Search Servlet time:1362607
JDBC time:905809, Search Servlet time:959624
JDBC time:1110570, Search Servlet time:1159285
JDBC time:1558207, Search Servlet time:2066817
JDBC time:1188982, Search Servlet time:1243930
JDBC time:1002003, Search Servlet time:1054311
JDBC time:1320510, Search Servlet time:1401457
JDBC time:1309393, Search Servlet time:1434988
JDBC time:1597372, Search Servlet time:1701667
JDBC time:1514225, Search Servlet time:1605784
JDBC time:1295830, Search Servlet time:1393650
JDBC time:856026, Search Servlet time:909326
JDBC time:877746, Search Servlet time:928287
JDBC time:1170193, Search Servlet time:1247337
JDBC time:3533865, Search Servlet time:1554804
JDBC time:1542783, Search Servlet time:1636004
JDBC time:1550115, Search Servlet time:1645518
JDBC time:1364677, Search Servlet time:1455699
JDBC time:1369648, Search Servlet time:1424760
JDBC time:1594426, Search Servlet time:1696120
JDBC time:1562879, Search Servlet time:1625529
JDBC time:1102845, Search Servlet time:1163278
JDBC time:1717747, Search Servlet time:1805035
JDBC time:1250160, Search Servlet time:1351086
JDBC time:1077139, Search Servlet time:1127523
JDBC time:1299799, Search Servlet time:1404327
JDBC time:1393685, Search Servlet time:1495967
JDBC time:1301076, Search Servlet time:1389903
JDBC time:2940990, Search Servlet time:1668189
JDBC time:1361479, Search Servlet time:1443606
JDBC time:1232916, Search Servlet time:1327897
JDBC time:1678896, Search Servlet time:1782271
JDBC time:1171201, Search Servlet time:1244413
JDBC time:3109736, Search Servlet time:449258
JDBC time:1430059, Search Servlet time:1484350
JDBC time:1378806, Search Servlet time:1447434
JDBC time:1968362, Search Servlet time:2070776
JDBC time:1667720, Search Servlet time:1804174
JDBC time:1582793, Search Servlet time:1662628
JDBC time:1307373, Search Servlet time:1437593
JDBC time:2529963, Search Servlet time:2580752
JDBC time:1549229, Search Servlet time:1663505
JDBC time:7051341, Search Servlet time:6782361
JDBC time:1183116, Search Servlet time:1269102
JDBC time:1207995, Search Servlet time:264646
JDBC time:7946007, Search Servlet time:4105675
JDBC time:9777794, Search Servlet time:9830141
JDBC time:1726318, Search Servlet time:1828385
JDBC time:1620581, Search Servlet time:1686967
JDBC time:2966219, Search Servlet time:1408308
JDBC time:1636044, Search Servlet time:1683963
JDBC time:1195910, Search Servlet time:1297251
JDBC time:1731135, Search Servlet time:1834450
JDBC time:1247487, Search Servlet time:1340832
JDBC time:2441494, Search Servlet time:1481618
JDBC time:1738243, Search Servlet time:1787967
JDBC time:1484574, Search Servlet time:1578512
JDBC time:1504006, Search Servlet time:1604167
JDBC time:928627, Search Servlet time:1002701
JDBC time:1396688, Search Servlet time:1502620
JDBC time:1340858, Search Servlet time:1434728
JDBC time:942042, Search Servlet time:1001202
JDBC time:1405272, Search Servlet time:1508241
JDBC time:3583295, Search Servlet time:3688796
JDBC time:865473, Search Servlet time:915838
JDBC time:1536163, Search Servlet time:1599677
JDBC time:886548, Search Servlet time:938298
JDBC time:1805515, Search Servlet time:1885753
JDBC time:1875636, Search Servlet time:1965590
JDBC time:1521556, Search Servlet time:1622423
JDBC time:2594961, Search Servlet time:2419463
JDBC time:2633688, Search Servlet time:2677209
JDBC time:1769208, Search Servlet time:1864927
JDBC time:924903, Search Servlet time:982399
JDBC time:1089238, Search Servlet time:1145528
JDBC time:6165268, Search Servlet time:6265213
JDBC time:1328965, Search Servlet time:1410217
JDBC time:3040534, Search Servlet time:2851553
JDBC time:1288155, Search Servlet time:1376830
JDBC time:2994228, Search Servlet time:2722561
JDBC time:1804680, Search Servlet time:1904277
JDBC time:1138168, Search Servlet time:1190774
JDBC time:1700947, Search Servlet time:1803303
JDBC time:892003, Search Servlet time:944055
JDBC time:1716833, Search Servlet time:1822924
JDBC time:1337359, Search Servlet time:349077
JDBC time:3272415, Search Servlet time:1887466
JDBC time:1847542, Search Servlet time:3047458
JDBC time:1367499, Search Servlet time:1458770
JDBC time:2611374, Search Servlet time:2684840
JDBC time:1520435, Search Servlet time:1616738
JDBC time:1099169, Search Servlet time:1157780
JDBC time:1468576, Search Servlet time:931301
JDBC time:1150964, Search Servlet time:1201844
JDBC time:10700794, Search Servlet time:10799679
JDBC time:1415457, Search Servlet time:1502290
JDBC time:1631246, Search Servlet time:1719998
JDBC time:1003337, Search Servlet time:1057062
JDBC time:1964839, Search Servlet time:2043348
JDBC time:3600499, Search Servlet time:3389255
JDBC time:1447662, Search Servlet time:1548404
JDBC time:1504718, Search Servlet time:1596108
JDBC time:1331101, Search Servlet time:1428847
JDBC time:1323330, Search Servlet time:1423414
JDBC time:910346, Search Servlet time:963554
JDBC time:2544313, Search Servlet time:2632257
JDBC time:3455068, Search Servlet time:3239663
JDBC time:1319135, Search Servlet time:1498367
JDBC time:1462082, Search Servlet time:1584192
JDBC time:1430983, Search Servlet time:1508697
JDBC time:1282212, Search Servlet time:1375831
JDBC time:1460332, Search Servlet time:1541800
JDBC time:1264617, Search Servlet time:1347474
JDBC time:1527252, Search Servlet time:1622459
JDBC time:2361082, Search Servlet time:1972918
JDBC time:2160826, Search Servlet time:2215902
JDBC time:1091457, Search Servlet time:1144564
JDBC time:1361361, Search Servlet time:1466935
JDBC time:1308886, Search Servlet time:1399836
JDBC time:1620434, Search Servlet time:1716649
JDBC time:3234404, Search Servlet time:2002986
JDBC time:5346683, Search Servlet time:5436198
JDBC time:1346345, Search Servlet time:1413014
JDBC time:1664280, Search Servlet time:1774360
JDBC time:1380137, Search Servlet time:1472609
JDBC time:1734208, Search Servlet time:1828184
JDBC time:1875692, Search Servlet time:1959414
JDBC time:2488652, Search Servlet time:2331989
JDBC time:2615219, Search Servlet time:2665135
JDBC time:4191178, Search Servlet time:3705612
JDBC time:1139109, Search Servlet time:1215496
JDBC time:3802459, Search Servlet time:3039336
JDBC time:3273636, Search Servlet time:3321039
JDBC time:2795284, Search Servlet time:2588125
JDBC time:2815139, Search Servlet time:2858063
JDBC time:1479218, Search Servlet time:1576664
JDBC time:1135436, Search Servlet time:1201809
JDBC time:1393533, Search Servlet time:1492195
JDBC time:1165391, Search Servlet time:1225402
JDBC time:960716, Search Servlet time:1022023
JDBC time:3367682, Search Servlet time:3428153
JDBC time:3608802, Search Servlet time:3698203
JDBC time:5566142, Search Servlet time:5304841
JDBC time:1504974, Search Servlet time:1603159
JDBC time:4025017, Search Servlet time:4132158
JDBC time:1269330, Search Servlet time:1359114
JDBC time:1026924, Search Servlet time:1090675
JDBC time:1591610, Search Servlet time:368313
JDBC time:1801993, Search Servlet time:1856669
JDBC time:1444639, Search Servlet time:1531707
JDBC time:996894, Search Servlet time:1044270
JDBC time:2235058, Search Servlet time:361336
JDBC time:1488758, Search Servlet time:1547244
JDBC time:1410186, Search Servlet time:1508550
JDBC time:2165395, Search Servlet time:1978978
JDBC time:2358485, Search Servlet time:265977
JDBC time:1151759, Search Servlet time:1201800
JDBC time:1621811, Search Servlet time:1719652
JDBC time:1505238, Search Servlet time:1597041
JDBC time:1604576, Search Servlet time:1723669
JDBC time:2136457, Search Servlet time:2227569
JDBC time:2407217, Search Servlet time:953970
JDBC time:1172688, Search Servlet time:1226038
JDBC time:4457986, Search Servlet time:1431096
JDBC time:1772116, Search Servlet time:1880197
JDBC time:978599, Search Servlet time:1041618
JDBC time:1151590, Search Servlet time:1198102
JDBC time:1898000, Search Servlet time:1993447
JDBC time:1488306, Search Servlet time:1546970
JDBC time:1904870, Search Servlet time:2000964
JDBC time:1010913, Search Servlet time:1064847
JDBC time:1359528, Search Servlet time:1463099
JDBC time:1224969, Search Servlet time:1311893
JDBC time:1624369, Search Servlet time:1765830
JDBC time:4159665, Search Servlet time:4236941
JDBC time:6869953, Search Servlet time:5235022
JDBC time:996577, Search Servlet time:1047817
JDBC time:1342054, Search Servlet time:1440919
JDBC time:1344020, Search Servlet time:1431562
JDBC time:1757200, Search Servlet time:1842185
JDBC time:1016764, Search Servlet time:1060576
JDBC time:1272194, Search Servlet time:1387204
JDBC time:1343241, Search Servlet time:1431875
JDBC time:1491167, Search Servlet time:1585306
JDBC time:1749449, Search Servlet time:1853953
JDBC time:1484014, Search Servlet time:1559654
JDBC time:1144352, Search Servlet time:1192738
JDBC time:1165639, Search Servlet time:1220296
JDBC time:1696373, Search Servlet time:1817653
JDBC time:1616725, Search Servlet time:1706498
JDBC time:1671485, Search Servlet time:1775192
JDBC time:1511694, Search Servlet time:1605259
JDBC time:1539687, Search Servlet time:1633944
JDBC time:1507252, Search Servlet time:1586234
JDBC time:1971625, Search Servlet time:2063972
JDBC time:2075815, Search Servlet time:2160994
JDBC time:1729609, Search Servlet time:1824881
JDBC time:1406538, Search Servlet time:1499947
JDBC time:1530620, Search Servlet time:1628898
JDBC time:1272382, Search Servlet time:1328213
JDBC time:2408587, Search Servlet time:420665
JDBC time:5232443, Search Servlet time:5283215
JDBC time:1535973, Search Servlet time:1629189
JDBC time:1345734, Search Servlet time:1437840
JDBC time:2070332, Search Servlet time:2169605
JDBC time:1541419, Search Servlet time:1635355
JDBC time:933134, Search Servlet time:1000351
JDBC time:2437510, Search Servlet time:2531626
JDBC time:1198522, Search Servlet time:1251407
JDBC time:1861115, Search Servlet time:374918
JDBC time:2814518, Search Servlet time:2869666
JDBC time:3341290, Search Servlet time:3155793
