JDBC time:1873699, Search Servlet time:1994303
JDBC time:1379890, Search Servlet time:1474270
JDBC time:1688649, Search Servlet time:1781762
JDBC time:1569129, Search Servlet time:1675581
JDBC time:1378002, Search Servlet time:1482954
JDBC time:1352345, Search Servlet time:1459629
JDBC time:1368170, Search Servlet time:1455204
JDBC time:2053288, Search Servlet time:2145144
JDBC time:1461696, Search Servlet time:1556192
JDBC time:1521534, Search Servlet time:1625137
JDBC time:1487391, Search Servlet time:1588797
JDBC time:1582596, Search Servlet time:1690462
JDBC time:1761339, Search Servlet time:1870114
JDBC time:1433681, Search Servlet time:1534919
JDBC time:1807719, Search Servlet time:1908345
JDBC time:1346942, Search Servlet time:1451984
JDBC time:1393957, Search Servlet time:1492088
JDBC time:1845957, Search Servlet time:1936588
JDBC time:1479997, Search Servlet time:1601217
JDBC time:10051030, Search Servlet time:10164671
JDBC time:3326546, Search Servlet time:3434622
JDBC time:1431612, Search Servlet time:1588845
JDBC time:1457356, Search Servlet time:1537645
JDBC time:1768848, Search Servlet time:1888022
JDBC time:1234767, Search Servlet time:1341045
JDBC time:2237423, Search Servlet time:2350020
JDBC time:1459800, Search Servlet time:1582892
JDBC time:1392344, Search Servlet time:1475585
JDBC time:1588836, Search Servlet time:1720885
JDBC time:1386960, Search Servlet time:1486714
JDBC time:1317704, Search Servlet time:1407380
JDBC time:1591593, Search Servlet time:1729221
JDBC time:1363583, Search Servlet time:1449184
JDBC time:1482641, Search Servlet time:1586258
JDBC time:1410097, Search Servlet time:1513686
JDBC time:1549716, Search Servlet time:1642815
JDBC time:1619666, Search Servlet time:1719152
JDBC time:1530829, Search Servlet time:1635167
JDBC time:1588870, Search Servlet time:1690616
JDBC time:1291777, Search Servlet time:1375881
JDBC time:3873493, Search Servlet time:3958048
JDBC time:1372705, Search Servlet time:1478490
JDBC time:1855607, Search Servlet time:1957338
JDBC time:1405502, Search Servlet time:1574052
JDBC time:1583521, Search Servlet time:1665922
JDBC time:1505572, Search Servlet time:1634322
JDBC time:1468643, Search Servlet time:1556816
JDBC time:1850121, Search Servlet time:1965853
JDBC time:1517050, Search Servlet time:1596960
JDBC time:2165871, Search Servlet time:2279668
JDBC time:1664358, Search Servlet time:1759332
JDBC time:1645122, Search Servlet time:1740929
JDBC time:1330767, Search Servlet time:1430328
JDBC time:1570448, Search Servlet time:1662941
JDBC time:1284650, Search Servlet time:1383180
JDBC time:1491292, Search Servlet time:1580834
JDBC time:1555938, Search Servlet time:1657669
JDBC time:1312625, Search Servlet time:1413658
JDBC time:1459056, Search Servlet time:1565764
JDBC time:1383744, Search Servlet time:1514105
JDBC time:1338410, Search Servlet time:1427369
JDBC time:1291887, Search Servlet time:1385963
JDBC time:1261823, Search Servlet time:1335831
JDBC time:2846580, Search Servlet time:2933851
JDBC time:1625229, Search Servlet time:1717709
JDBC time:1788883, Search Servlet time:1878591
JDBC time:1478000, Search Servlet time:1602041
JDBC time:2029856, Search Servlet time:2140094
JDBC time:1357181, Search Servlet time:1445747
JDBC time:2977678, Search Servlet time:3105134
JDBC time:1776498, Search Servlet time:1889570
JDBC time:5320479, Search Servlet time:5426517
JDBC time:1525880, Search Servlet time:1646771
JDBC time:1584900, Search Servlet time:1703492
JDBC time:10238575, Search Servlet time:10366732
JDBC time:1342922, Search Servlet time:1434876
JDBC time:1409332, Search Servlet time:1497738
JDBC time:2024170, Search Servlet time:2130675
JDBC time:1749957, Search Servlet time:1846807
JDBC time:1683707, Search Servlet time:1777115
JDBC time:1720695, Search Servlet time:1849441
JDBC time:1654105, Search Servlet time:1803310
JDBC time:1961087, Search Servlet time:2092666
JDBC time:1433789, Search Servlet time:1533052
JDBC time:1340636, Search Servlet time:1477292
JDBC time:1371335, Search Servlet time:1465528
JDBC time:1579244, Search Servlet time:1682550
JDBC time:1381138, Search Servlet time:1501655
JDBC time:5890488, Search Servlet time:5986543
JDBC time:1345853, Search Servlet time:1464405
JDBC time:1348191, Search Servlet time:1457271
JDBC time:1459700, Search Servlet time:1561287
JDBC time:3570318, Search Servlet time:3672061
JDBC time:1366996, Search Servlet time:1476437
JDBC time:1559207, Search Servlet time:1662596
JDBC time:1434296, Search Servlet time:1531166
JDBC time:1737832, Search Servlet time:1840260
JDBC time:1927009, Search Servlet time:2000449
JDBC time:1501047, Search Servlet time:1613280
JDBC time:1534920, Search Servlet time:1645256
JDBC time:1433753, Search Servlet time:1520039
JDBC time:1551692, Search Servlet time:1649093
JDBC time:1787719, Search Servlet time:1882307
JDBC time:1554964, Search Servlet time:1652090
JDBC time:6620486, Search Servlet time:6735411
JDBC time:1309386, Search Servlet time:1400429
JDBC time:1707530, Search Servlet time:1819507
JDBC time:1568274, Search Servlet time:1696258
JDBC time:1752833, Search Servlet time:1845715
JDBC time:1617935, Search Servlet time:1712367
JDBC time:1830684, Search Servlet time:1939848
JDBC time:1714636, Search Servlet time:1811629
JDBC time:1451563, Search Servlet time:1544878
JDBC time:1595036, Search Servlet time:1675812
JDBC time:1320858, Search Servlet time:1414104
JDBC time:1260764, Search Servlet time:1350002
JDBC time:1697540, Search Servlet time:1790392
JDBC time:1386414, Search Servlet time:1495294
JDBC time:1452241, Search Servlet time:1559041
JDBC time:1492461, Search Servlet time:1591177
JDBC time:1562722, Search Servlet time:1651396
JDBC time:1357594, Search Servlet time:1487589
JDBC time:1450387, Search Servlet time:1553019
JDBC time:10958142, Search Servlet time:11085568
JDBC time:1812069, Search Servlet time:1903824
JDBC time:1472831, Search Servlet time:1578371
JDBC time:1521323, Search Servlet time:1628792
JDBC time:1610589, Search Servlet time:1723927
JDBC time:1918786, Search Servlet time:2052206
JDBC time:1413596, Search Servlet time:1496587
JDBC time:1266089, Search Servlet time:1344089
JDBC time:1260707, Search Servlet time:1375961
JDBC time:1339067, Search Servlet time:1444947
JDBC time:1434384, Search Servlet time:1517036
JDBC time:1828661, Search Servlet time:1917394
JDBC time:1751641, Search Servlet time:1823000
JDBC time:1377820, Search Servlet time:1487159
JDBC time:1348634, Search Servlet time:1454473
JDBC time:1606327, Search Servlet time:1703180
JDBC time:1299506, Search Servlet time:1398334
JDBC time:1489042, Search Servlet time:1590779
JDBC time:1246669, Search Servlet time:1352106
JDBC time:2812439, Search Servlet time:2913413
JDBC time:1485809, Search Servlet time:1573360
JDBC time:1431911, Search Servlet time:1520445
JDBC time:1588440, Search Servlet time:1699918
JDBC time:1378600, Search Servlet time:1497366
JDBC time:1428311, Search Servlet time:1589821
JDBC time:1450706, Search Servlet time:1556976
JDBC time:1479899, Search Servlet time:1583636
JDBC time:1701184, Search Servlet time:1811581
JDBC time:5483794, Search Servlet time:5590132
JDBC time:1687826, Search Servlet time:1784077
JDBC time:1434213, Search Servlet time:1549757
JDBC time:1695744, Search Servlet time:1812231
JDBC time:1799885, Search Servlet time:1918091
JDBC time:1409907, Search Servlet time:1509386
JDBC time:1697369, Search Servlet time:1788773
JDBC time:1326821, Search Servlet time:1412481
JDBC time:1343124, Search Servlet time:1435355
JDBC time:2172235, Search Servlet time:2324203
JDBC time:1565087, Search Servlet time:1660880
JDBC time:1621990, Search Servlet time:1714755
JDBC time:1456407, Search Servlet time:1582168
JDBC time:1451704, Search Servlet time:1555553
JDBC time:1382412, Search Servlet time:1469100
JDBC time:1229756, Search Servlet time:1325475
JDBC time:1441865, Search Servlet time:1563959
JDBC time:1680977, Search Servlet time:1781759
JDBC time:3671458, Search Servlet time:3754437
JDBC time:3637731, Search Servlet time:3723623
JDBC time:1782415, Search Servlet time:1874492
JDBC time:1476378, Search Servlet time:1577187
JDBC time:3590824, Search Servlet time:3686434
JDBC time:1390638, Search Servlet time:1491945
JDBC time:1450158, Search Servlet time:1545216
JDBC time:1208027, Search Servlet time:1295523
JDBC time:2015529, Search Servlet time:2117038
JDBC time:1534239, Search Servlet time:1656270
JDBC time:1382113, Search Servlet time:1474989
