JDBC time: 208694621, Servlet time: 216809086
JDBC time: 205137464, Servlet time: 221379814
JDBC time: 78837836, Servlet time: 78927393
JDBC time: 16306001, Servlet time: 16395025
JDBC time: 79135326, Servlet time: 79200385
JDBC time: 64789007, Servlet time: 64832914
JDBC time: 67041128, Servlet time: 67083602
JDBC time: 53857312, Servlet time: 53908219
JDBC time: 68898414, Servlet time: 68953495
JDBC time: 72329282, Servlet time: 72378473
JDBC time: 16685129, Servlet time: 16752975
JDBC time: 73625486, Servlet time: 73667771
JDBC time: 74982776, Servlet time: 75030117
JDBC time: 76947301, Servlet time: 76994244
JDBC time: 81096147, Servlet time: 81145240
JDBC time: 83072073, Servlet time: 83114359
JDBC time: 86465547, Servlet time: 86532595
JDBC time: 84952987, Servlet time: 84996149
JDBC time: 31240492, Servlet time: 31281318
JDBC time: 52629012, Servlet time: 52688774
JDBC time: 10502258, Servlet time: 10562323
JDBC time: 38534547, Servlet time: 38594972
JDBC time: 38432224, Servlet time: 38487187
JDBC time: 37566040, Servlet time: 37610036
JDBC time: 38855527, Servlet time: 38898262
JDBC time: 21452866, Servlet time: 21510403
JDBC time: 21392593, Servlet time: 21435102
JDBC time: 17649272, Servlet time: 17700852
JDBC time: 34508424, Servlet time: 34568071
JDBC time: 35480121, Servlet time: 35523061
JDBC time: 39004396, Servlet time: 39052225
JDBC time: 42942207, Servlet time: 42998865
JDBC time: 43660252, Servlet time: 43705824
JDBC time: 44736672, Servlet time: 44792569
JDBC time: 52931304, Servlet time: 53012652
JDBC time: 56335023, Servlet time: 56376169
JDBC time: 60223144, Servlet time: 60269468
JDBC time: 61148472, Servlet time: 61193908
JDBC time: 64842343, Servlet time: 64891524
JDBC time: 70097604, Servlet time: 70156085
JDBC time: 64860709, Servlet time: 64905814
JDBC time: 43102454, Servlet time: 43166118
JDBC time: 45497554, Servlet time: 45575519
JDBC time: 44239947, Servlet time: 46192332
JDBC time: 48750236, Servlet time: 48788750
JDBC time: 10626105, Servlet time: 10681167
JDBC time: 52714794, Servlet time: 52760592
JDBC time: 57691526, Servlet time: 57736929
JDBC time: 59403363, Servlet time: 59451489
JDBC time: 62260643, Servlet time: 62323222
JDBC time: 61688729, Servlet time: 61753447
JDBC time: 57474906, Servlet time: 57533641
JDBC time: 60385326, Servlet time: 60432429
JDBC time: 62101027, Servlet time: 62167092
JDBC time: 61563220, Servlet time: 61609600
JDBC time: 60875656, Servlet time: 63280958
JDBC time: 54162889, Servlet time: 54227134
JDBC time: 55531394, Servlet time: 55576401
JDBC time: 58053359, Servlet time: 58097902
JDBC time: 56280569, Servlet time: 56326466
JDBC time: 59610702, Servlet time: 59686271
JDBC time: 52994120, Servlet time: 53037746
JDBC time: 54341432, Servlet time: 54384925
JDBC time: 56410985, Servlet time: 56459874
JDBC time: 55339276, Servlet time: 55386936
JDBC time: 65182757, Servlet time: 65241739
JDBC time: 35193325, Servlet time: 37462266
JDBC time: 37746939, Servlet time: 37829760
JDBC time: 42358157, Servlet time: 42400610
JDBC time: 37447377, Servlet time: 37491358
JDBC time: 45332815, Servlet time: 45408531
JDBC time: 40976126, Servlet time: 41020936
JDBC time: 45008259, Servlet time: 45070340
JDBC time: 68361323, Servlet time: 68425297
JDBC time: 38318081, Servlet time: 38373180
JDBC time: 38145092, Servlet time: 38188210
JDBC time: 36240485, Servlet time: 36288527
JDBC time: 37213249, Servlet time: 37259483
JDBC time: 39702314, Servlet time: 39761862
JDBC time: 41201347, Servlet time: 41250455
JDBC time: 38507884, Servlet time: 38556691
JDBC time: 50415985, Servlet time: 50522857
JDBC time: 49870895, Servlet time: 49936392
JDBC time: 84474920, Servlet time: 84534828
JDBC time: 84964577, Servlet time: 85013053
JDBC time: 92904874, Servlet time: 92948471
JDBC time: 92509011, Servlet time: 92552137
JDBC time: 84937445, Servlet time: 84984980
JDBC time: 95074156, Servlet time: 95174221
JDBC time: 67553314, Servlet time: 67603960
JDBC time: 59458417, Servlet time: 59505116
JDBC time: 44242719, Servlet time: 44296135
JDBC time: 44068153, Servlet time: 44117000
JDBC time: 88243024, Servlet time: 88289294
JDBC time: 94838341, Servlet time: 94886640
JDBC time: 90218982, Servlet time: 90267649
JDBC time: 97796840, Servlet time: 97843244
JDBC time: 100527193, Servlet time: 100573182
JDBC time: 100396325, Servlet time: 100445222
JDBC time: 105201573, Servlet time: 105283513
JDBC time: 103078211, Servlet time: 103130816
JDBC time: 102493285, Servlet time: 102540321
JDBC time: 103961848, Servlet time: 104006856
JDBC time: 54307455, Servlet time: 54350398
JDBC time: 56716647, Servlet time: 56797363
JDBC time: 63675764, Servlet time: 63719233
JDBC time: 51909700, Servlet time: 51951341
JDBC time: 53031370, Servlet time: 53074451
JDBC time: 54036142, Servlet time: 54083373
JDBC time: 38641777, Servlet time: 38686122
JDBC time: 40518904, Servlet time: 40595291
JDBC time: 41125543, Servlet time: 41171685
JDBC time: 36392199, Servlet time: 36454756
JDBC time: 39870209, Servlet time: 39918291
JDBC time: 43921727, Servlet time: 43980428
JDBC time: 39983952, Servlet time: 40027394
JDBC time: 71027613, Servlet time: 71084579
JDBC time: 81902519, Servlet time: 81949847
JDBC time: 81405453, Servlet time: 81454853
JDBC time: 86023631, Servlet time: 86082245
JDBC time: 82942643, Servlet time: 82988664
JDBC time: 84171220, Servlet time: 84284861
JDBC time: 95561593, Servlet time: 95605655
JDBC time: 28989843, Servlet time: 29035400
JDBC time: 30622792, Servlet time: 30668800
JDBC time: 31697057, Servlet time: 31771095
JDBC time: 16767933, Servlet time: 16838630
JDBC time: 27770357, Servlet time: 27818775
JDBC time: 28681681, Servlet time: 28726944
JDBC time: 30465371, Servlet time: 30546033
JDBC time: 55144921, Servlet time: 55201088
JDBC time: 52508293, Servlet time: 52567401
JDBC time: 56840672, Servlet time: 56890921
JDBC time: 54883378, Servlet time: 54929779
JDBC time: 61210033, Servlet time: 61261658
JDBC time: 68537933, Servlet time: 68621557
JDBC time: 48990470, Servlet time: 49058119
JDBC time: 49038275, Servlet time: 49082571
JDBC time: 48506140, Servlet time: 48549133
JDBC time: 49201301, Servlet time: 49245273
JDBC time: 30346905, Servlet time: 30403271
JDBC time: 36279841, Servlet time: 36325145
JDBC time: 37480394, Servlet time: 37564125
JDBC time: 35868034, Servlet time: 35954980
JDBC time: 37179881, Servlet time: 37240755
JDBC time: 30795381, Servlet time: 30858158
JDBC time: 43102978, Servlet time: 43164549
JDBC time: 44287426, Servlet time: 44355511
JDBC time: 37526910, Servlet time: 37572010
JDBC time: 43633629, Servlet time: 43677019
JDBC time: 33657894, Servlet time: 33700925
JDBC time: 28378235, Servlet time: 28424459
JDBC time: 40279691, Servlet time: 40358979
JDBC time: 32222490, Servlet time: 32268551
JDBC time: 34433637, Servlet time: 34513954
JDBC time: 33631887, Servlet time: 33676487
JDBC time: 68772987, Servlet time: 68849730
JDBC time: 76898815, Servlet time: 76940461
JDBC time: 80513469, Servlet time: 80562200
JDBC time: 80047341, Servlet time: 80092124
JDBC time: 79318217, Servlet time: 79359978
JDBC time: 81232236, Servlet time: 81275992
JDBC time: 81349070, Servlet time: 81396891
JDBC time: 29992428, Servlet time: 30076602
JDBC time: 24798138, Servlet time: 24880316
JDBC time: 25154162, Servlet time: 25201811
JDBC time: 70452084, Servlet time: 70500750
JDBC time: 72833387, Servlet time: 72878002
JDBC time: 76677373, Servlet time: 76723500
JDBC time: 78417222, Servlet time: 78461809
JDBC time: 78358511, Servlet time: 78406015
JDBC time: 84574122, Servlet time: 84657097
JDBC time: 88321351, Servlet time: 88363931
JDBC time: 28004033, Servlet time: 28076106
JDBC time: 29467533, Servlet time: 29537476
JDBC time: 28253393, Servlet time: 28298018
JDBC time: 74138603, Servlet time: 74182046
JDBC time: 84763319, Servlet time: 84806837
JDBC time: 81081464, Servlet time: 81132163
JDBC time: 89051731, Servlet time: 89093272
JDBC time: 52408373, Servlet time: 52499865
JDBC time: 84622529, Servlet time: 84673194
JDBC time: 91550963, Servlet time: 91632593
JDBC time: 55041948, Servlet time: 55084660
JDBC time: 56599178, Servlet time: 56659290
JDBC time: 57625632, Servlet time: 57675214
JDBC time: 87836562, Servlet time: 87877804
JDBC time: 91715937, Servlet time: 91756109
JDBC time: 94175331, Servlet time: 94228409
JDBC time: 96572011, Servlet time: 96612377
JDBC time: 98434552, Servlet time: 98474639
