JDBC time:4726798, Search Servlet time:4991245
JDBC time:4225363, Search Servlet time:4476523
JDBC time:3948448, Search Servlet time:4179392
JDBC time:6786852, Search Servlet time:7044994
JDBC time:6071355, Search Servlet time:6338076
JDBC time:4206832, Search Servlet time:4483615
JDBC time:5236621, Search Servlet time:986173
JDBC time:6516524, Search Servlet time:6703852
JDBC time:6726750, Search Servlet time:6920095
JDBC time:3627302, Search Servlet time:3843601
JDBC time:3193029, Search Servlet time:3476224
JDBC time:2873514, Search Servlet time:3020280
JDBC time:3184510, Search Servlet time:3387518
JDBC time:4126391, Search Servlet time:4406160
JDBC time:2826045, Search Servlet time:3039940
JDBC time:2213033, Search Servlet time:2363766
JDBC time:23558582, Search Servlet time:23806888
JDBC time:1892202, Search Servlet time:2072725
JDBC time:2459479, Search Servlet time:2707628
JDBC time:3166060, Search Servlet time:3310501
JDBC time:2717407, Search Servlet time:2904700
JDBC time:1656448, Search Servlet time:1801539
JDBC time:1917924, Search Servlet time:2103415
JDBC time:2100792, Search Servlet time:2247174
JDBC time:1941629, Search Servlet time:2156606
JDBC time:2750519, Search Servlet time:2911287
JDBC time:2578231, Search Servlet time:2813070
JDBC time:1547630, Search Servlet time:1719546
JDBC time:5670302, Search Servlet time:5934640
JDBC time:1838411, Search Servlet time:2059441
JDBC time:4497957, Search Servlet time:4657778
JDBC time:5486527, Search Servlet time:5333597
JDBC time:1858277, Search Servlet time:2132865
JDBC time:2346155, Search Servlet time:2549454
JDBC time:7961032, Search Servlet time:4460017
JDBC time:4588124, Search Servlet time:4721416
JDBC time:3875262, Search Servlet time:4046777
JDBC time:1816906, Search Servlet time:1985017
JDBC time:1696516, Search Servlet time:1854155
JDBC time:3863625, Search Servlet time:2261804
JDBC time:2739042, Search Servlet time:2973169
JDBC time:3116844, Search Servlet time:3246921
JDBC time:3206771, Search Servlet time:3372081
JDBC time:3918180, Search Servlet time:3799093
JDBC time:2061362, Search Servlet time:2286561
JDBC time:1369580, Search Servlet time:1498133
JDBC time:3312297, Search Servlet time:3491136
JDBC time:4199886, Search Servlet time:3928940
JDBC time:4102076, Search Servlet time:3865856
JDBC time:3988904, Search Servlet time:4124828
JDBC time:3168554, Search Servlet time:8101437
JDBC time:11383973, Search Servlet time:11526121
JDBC time:2958216, Search Servlet time:3141789
JDBC time:5203487, Search Servlet time:3598037
JDBC time:2079053, Search Servlet time:2305782
JDBC time:2505779, Search Servlet time:2683164
JDBC time:4199606, Search Servlet time:2276466
JDBC time:2568003, Search Servlet time:2694993
JDBC time:2415530, Search Servlet time:2620612
JDBC time:1705926, Search Servlet time:1929971
JDBC time:4024289, Search Servlet time:4207819
